   0,   0,   0,   0,   0,   2,  20,  22,  13,  16,  14,   5
   0,   0,   0,   0,   0,   9,  50,  46,  37,  40,  37,   7
   0,   0,   0,   0,   0,  17,  71,  59,  79,  76,  75,  36
   0,   0,   0,   0,   0,  26,  74,  65,  78,  77,  83,  50
   0,   0,   0,   0,  21,  49,  72,  73,  79,  78,  83,  54
   0,   0,   0,  13,  39,  63,  60,  75,  81,  77,  76,  85
   0,   3,  16,  40,  57,  63,  71,  75,  78,  75,  75,  89
  29,  34,  37,  50,  57,  71,  73,  75,  77,  77,  76,  79
  43,  46,  51,  63,  70,  74,  77,  76,  79,  79,  78,  73
  60,  62,  69,  71,  73,  75,  68,  62,  77,  77,  76,  70
  40,  47,  49,  47,  42,  42,  37,  39,  67,  67,  53,  51
  13,  27,  32,  31,  30,  27,  27,  13,  11,  31,  37,  40
