   0,   0,   0,   0,   0,   0,  10,   7,   2,   3,   2,   1
   0,   0,   0,   0,   0,   1,  21,  27,   8,   9,  14,  14
   0,   0,   0,   0,   0,   0,  30,  54,   1,   9,  14,  10
   0,   0,   0,   0,   0,   2,  41,  54,   2,   2,   0,   6
   0,   0,   0,   0,   0,  17,  58,  49,   1,   3,   0,  13
   0,   0,   0,   0,   8,  37,  54,   4,   1,   0,   0,   8
   0,   0,   2,   6,  26,  53,  27,   0,   1,   0,   0,  13
   5,   4,  12,  26,  38,  37,   0,   0,   0,   0,   0,   7
  24,  15,  18,  31,  25,   0,   0,   0,   0,   0,   0,   5
  38,  10,   3,   0,   0,   0,   0,   0,   3,   1,   0,   3
   8,   0,   0,   0,   0,   0,   0,   0,   0,  25,   0,   0
  10,   1,   4,   0,   0,   0,   0,   0,   1,  27,   3,   0
