  -532,  -861, -3362,-11046,-18383,-20252,-20909,-18464
  -927, -2669,-10733,-18351,-20844,-16017,-16438,-15380
 -2306, -9795,-21493,-22974,-17035,-10017,-12181,-13773
 -9505,-19975,-24556,-19181,-12474, -9893,-11943,-12954
-21886,-24219,-18814,-12951,-10483,-11287,-14445,-15404
-20921,-16803,-12872,-11876, -9366, -8027, -9871,-14248
 -6526, -3767,   -69,  4365,  8972,  9065,  2050, -7088
  9243, 13159, 19793, 29548, 31562, 21767,  7729,  -871
