     0,     0,     0,     0,     0,     0,     0,     0,     0,    -6,    27,   -17,  -486,  1582,   876,   416, -1262,   101,    79,     0,     0,     0,     0,     0
     0,     0,     0,     0,     0,     0,     0,     0,     0,   -63,   239,  -394, -1280,  3971,  2459,  2991,  1121,   269,  1336,   709,   623,   868,   645, -1771
     0,     0,     0,     0,     0,     0,     0,     0,     0,  -161,   348, -1099, -2405,  6194,  5278,  5700,  2613,  1648,  1420,  3372,  2732,  4089,  3349, -2538
     0,     0,     0,     0,     0,     0,     0,     0,     0,  -184,   434, -2089, -1101,  8380, 10047, 10501,  3292,   -59,   771,  3725,  3261,  5613,  5659, -5149
     0,     0,     0,     0,     0,     0,     0,     0,     0,  -123,   268, -2913,  1283, 10185, 16979, 13730,   734, -1284,  -534,  3814,  2224,  5576,  4067, -7975
     0,     0,     0,     0,     0,     0,     0,     0,   -18,    41,   114, -4161,  5229, 11848, 20813, 11303, -1514,  -317,  -767,  -798, -2823,   869,   -12,-14988
     0,     0,     0,     0,     0,     0,     0,     0,   -45,    65,  -516, -3251,  7062, 13642, 20486,  7880,  -816,   962,  1075,  -813, -3513,   100,  -488,-17836
     0,     0,     0,     0,     0,     0,     0,     0,   -33,    90, -2709,   988,  7852, 15900, 20937,  3648,  -775,   384,   837, -1252, -2847, -1597,  2391,-17824
     0,     0,     0,     0,    -6,    27,   -41,   108,   -76,  -966, -1006,  3569,  9127, 19164, 18831,  -624,  -414,   497,  1168, -2125, -3207, -3056,  3827,-16800
     0,     0,     0,     0,   -15,    11,     0,    53,  -638,  -837,  1210,  6828, 11860, 22598, 11083, -2839,  -351,   224,   868, -2867, -2477, -3641,  5350,-14393
     0,     0,     0,     0,   -23,    47,    -5,  -260, -1284,   933,  5275,  8631, 19107, 17702,  1763, -3069,  -292,   580,   223, -3135, -2187, -4411,  3271, -7925
     0,     0,   -12,    54,   -67,    15,  -244,  -450,    85,  3439,  8158, 14286, 20834,  7563, -3221, -1480,   156,   729,  -621, -3293, -2220, -5495,  -156, -1864
    97,  -133,   -23,    54,    -9,  -635,  1009,   258,  1427,  7544, 12012, 20539, 10674, -1349, -2463, -1042,   739,   514, -1550, -3212, -2846, -5554, -3104,  3690
   211,    16,   -67,  -270,   803,   150,   691,  2435,  6194, 10084, 18559, 14421,   743, -2138, -1456,  -959,   686,   -88, -1679, -3619, -4035, -3096, -3500,  5326
  1072,   764,   928,   211,   410,   427,  3957,  6466, 10121, 14913, 14394,  4724, -2259,    82, -2237, -1124,  -395,  -849, -2175, -4499, -2868, -1433, -4160,  2715
  1627,  1975,  1620,  1593,  3243,  4890,  6833, 10231, 14927, 11002,  4502,  -508,  -782,  -548, -2295, -1337,  -781,  -718, -3774, -4117, -1404, -1404, -4437,  1544
  4317,  5050,  4486,  4320,  4708,  6617,  9667, 12151,  9719,  1767,  -895,  -759,  -728, -1242, -1800,  -222,  -944, -1204, -4604, -3049,  -964, -1467, -3727,  1422
  9281,  6369,  5817,  5402,  5636,  7258,  7499,  4271,   385,  -566,  -351, -1339,  -580, -1194, -1095, -2538, -2294,  -165, -3894, -2510, -1001,  -753, -2958,  2045
 14892,  4612,  4219,  2806,  1426,     0, -1382, -1328,  -647,   193, -1341,  -658, -1502, -3340, -2028, -1751, -5968,  1303, -2859, -2858, -1039,  -110, -2813,  1391
  8944, -3624, -2641, -2529, -2374, -1722, -1241, -1187, -1665, -1783, -2691,  -811, -1146, -3455, -3250, -5638,-10474, -4043,   577, -1977, -1838, -1040, -3621,  -252
  3203, -2401, -3290, -4685, -4005, -3673, -3477, -3646, -3875, -3348, -4000, -3457, -5126, -6575, -8563, -8304,-11990, -7957,  -947,  2812, -3775, -3774, -5155, -2891
  2339,   585, -3158, -5156, -4233, -3677, -4057, -4943, -5630, -5451, -6626, -7254, -6333, -8039,-12317,-12250,-12368, -9434,  7721,  9922, -2187, -5851, -5745, -5012
  3969,  3567,  -685, -3711, -2857, -2372, -3636, -5315, -6455, -7229, -8018, -8734, -8068, -9048,-11081, -8573, -3481,   723,  9226, 10667, -1769, -6671, -6043, -6613
   -36,    -8,   214,   727,  1675,  1745,    99, -1780, -3131, -3814, -3900, -3816, -2823,  -699,   145,    74,   -74,   111,  2103,  4651,  1227, -3890, -3597, -4111
