    24,    24,    24,    24,    24,    24,    24,    24,    24,    40,    36,   -16,  1240,  2582,  -740, -9548,-13646, -9326, -2346,    24,    24,    24,    24,    24
    24,    24,    24,    24,    24,    24,    24,    24,    24,   148,   102,   384,  2834,  2004, -9994,-30928,-35956,-32382,-25018,-24258,-24010,-22944,-23000,-21484
    24,    24,    24,    24,    24,    24,    24,    24,    24,    65,   -35,   526,   681, -1740,-19256,-48549,-54288,-53760,-51614,-51812,-52072,-51020,-52454,-48496
    24,    24,    24,    24,    24,    24,    24,    24,    24,    11,   197,   863,  2293,  2909,-16986,-47997,-51419,-56251,-59652,-64190,-64764,-64771,-65429,-64354
    24,    24,    24,    24,    24,    24,    24,    24,    24,   119,   350,  2287,  8208, 12755, -4594,-25203,-23827,-30813,-40299,-44724,-46338,-47891,-53539,-58791
    24,    24,    24,    24,    24,    24,    24,    24,    72,   290,   426,  4348, 14587, 19617,  1478, -5730,   818,  -318, -6152, -8866, -8744,-12499,-21785,-37818
    24,    24,    24,    24,    24,    24,    24,    24,    12,   125,  1780,  6162, 12600, 11619,-10782, -7251,  -798,  1191, -2507, -1760,  -400, -1199,-12581,-33828
    24,    24,    24,    24,    24,    24,    24,    24,     3,   165,  3139,  6079,  9070, -1976,-15311, -4882,  -744,    94, -5006, -3695, -3155, -5167,-16517,-38683
    24,    24,    24,    24,    40,    36,    48,    -8,  -121,  2409,  3902,  1476, -3407,-16553,-12924, -2395,  -825,    43, -4126, -2918, -4060, -6729,-14366,-31632
    24,    24,    24,    24,    20,    38,     8,  -210,  1612,  4093, -2415, -7012,-18353,-16854, -4723,   923,   536,    18, -4413, -2925, -3239, -2152, -5040,-21939
    24,    24,    24,    24,    49,    81,  -110,   832,  3460, -1156, -7761,-18575,-20930,-10590,    89,   675,  1092,  -548, -3649, -1186,  -788,  2230, -2133,-19483
    24,    24,    56,    48,   -49,  -163,  1007,  3462,   235, -9556,-17126,-24520,-15920, -3489, -2312,  -701,   193, -1163, -2431,  -184,   691,  1140, -3527,-22325
  -400,  -946,  -834,  -252,   -16,  1764,  4521, -1265,-15311,-20546,-22946,-17398, -7174, -2325, -4064, -1854,  -552, -1308, -2194,  -280,  -205, -2514, -9532,-21608
  -534,  -736,  -600,  1154,  3182,  1833, -9085,-22527,-29476,-26707,-17893, -9333, -1853, -4383, -3885, -2920,  -833, -2145, -3050,  -745, -2467, -3876, -7478,-12343
   -54, -4784, -9290,-13416,-19744,-28120,-34009,-33506,-31317,-22364,-11641, -1681, -2040, -2293, -1724, -1603,  -242, -3204, -1989,   792, -1209, -2468, -2883, -8570
-22691,-33094,-37856,-41787,-43435,-41295,-37912,-31754,-23821,-12173, -4298, -2193, -2586, -2515, -1982, -1979,   914,  -773,   371,   976, -1207, -3388, -5292,-10732
-47171,-48506,-49915,-50480,-48292,-42061,-32899,-20735, -8998, -3883, -4675, -3627, -4005, -3558, -2503, -1531, -1347, -5477, -5742, -4087, -3333, -5677, -7416, -9852
-51543,-49705,-46897,-41900,-34448,-24241,-13966, -7071, -4218, -4444, -4415, -4222, -4782, -4473, -6551,-10185, -7989, -2207,  1500, -1920, -3780, -5878, -5878, -6638
-12028,-10994,-14525,-12999,-10591, -9716,-10031, -9852, -8839, -7579, -7135, -8181,-10382,-10678, -3302, 10369, 23157, 32321, 24664,  1505, -4386, -4062, -3177, -4164
 33215, 27089, 19707, 18536, 15172, 10361,  5971,  3784,  4291,  5757,  8439, 12625, 19972, 24875, 35945, 44427, 47721, 51498, 49443, 20750, 10269,  8125,  7605,  4009
 56424, 53265, 48672, 46497, 43248, 38502, 34778, 33367, 34655, 37266, 40822, 46323, 49974, 49400, 52368, 57235, 57640, 64326, 61271, 41418, 31997, 33205, 31258, 27077
 50057, 55086, 57308, 59796, 60018, 58377, 56501, 55527, 55523, 56389, 57780, 58720, 58997, 54598, 48996, 41632, 37616, 39569, 52536, 52842, 53538, 53464, 51764, 47869
 20479, 30024, 36530, 40801, 44951, 47995, 50099, 50633, 49901, 47751, 45255, 41181, 35904, 26181, 14209,  5086,  6179, 17373, 35055, 49571, 51873, 54630, 53605, 49282
   116,   477,  1888,  4910,  9427, 14041, 16903, 17327, 15714, 12395,  8256,  4260,  1425,   510,   322,   403,   952,  5195, 11643, 19989, 25181, 25961, 26164, 23947
