0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.05,3.01,0.00,39.70
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.23,7.32,11.49,167.56
0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.14,131.94,153.47,171.86,327.74
0.00,0.00,0.00,0.00,0.14,0.00,0.00,96.80,136.11,182.41,225.35,344.88
0.00,0.00,0.00,0.00,0.00,0.00,43.83,135.89,157.10,187.56,195.63,340.12
0.00,0.00,0.00,0.00,0.00,0.00,71.78,155.52,160.72,201.94,197.68,342.53
1.65,2.51,0.00,0.00,0.00,48.89,156.24,146.57,179.41,196.62,180.40,286.54
0.00,0.00,0.00,0.00,50.27,141.01,153.03,159.46,185.95,185.29,174.78,231.56
0.00,0.00,29.19,99.49,137.58,144.58,150.10,172.13,216.05,175.07,175.24,221.61
133.85,149.06,138.15,165.46,187.24,210.83,222.14,241.31,210.48,118.58,198.57,264.93
151.03,156.81,156.99,172.10,197.18,211.10,257.69,255.86,153.10,136.19,205.07,252.79
109.17,156.10,175.65,207.06,223.70,226.47,198.36,113.50,27.97,98.90,202.07,205.23
